ResNet       line 1 cols 1-6 is T_Identifier 
:            line 34 cols 8-8 is ':' 
BasicBlock   line 34 cols 10-19 is T_Identifier 
(            line 34 cols 20-20 is '(' 
(            line 35 cols 7-7 is '(' 
conv1        line 35 cols 8-12 is T_Identifier 
)            line 35 cols 13-13 is ')' 
:            line 35 cols 14-14 is ':' 
Conv2d       line 35 cols 16-21 is T_Conv2d 
(            line 35 cols 22-22 is '(' 
128          line 35 cols 23-25 is T_IntConstant (value = 128)
,            line 35 cols 26-26 is ',' 
128          line 35 cols 28-30 is T_IntConstant (value = 128)
,            line 35 cols 31-31 is ',' 
kernel_size  line 35 cols 33-43 is T_kernel_size 
=            line 35 cols 44-44 is '=' 
(            line 35 cols 45-45 is '(' 
3            line 35 cols 46-46 is T_IntConstant (value = 3)
,            line 35 cols 47-47 is ',' 
3            line 35 cols 49-49 is T_IntConstant (value = 3)
)            line 35 cols 50-50 is ')' 
,            line 35 cols 51-51 is ',' 
stride       line 35 cols 53-58 is T_stride 
=            line 35 cols 59-59 is '=' 
(            line 35 cols 60-60 is '(' 
1            line 35 cols 61-61 is T_IntConstant (value = 1)
,            line 35 cols 62-62 is ',' 
1            line 35 cols 64-64 is T_IntConstant (value = 1)
