Inception3   line 1 cols 1-10 is T_Identifier 
=            line 352 cols 61-61 is '=' 
True         line 352 cols 62-65 is T_BoolConstant (value = true)
,            line 352 cols 66-66 is ',' 
track_running_stats line 352 cols 68-86 is T_track_running_stats 
=            line 352 cols 87-87 is '=' 
True         line 352 cols 88-91 is T_BoolConstant (value = true)
)            line 352 cols 92-92 is ')' 
)            line 353 cols 5-5 is ')' 
(            line 354 cols 5-5 is '(' 
branch3x3dbl_1 line 354 cols 6-19 is T_Identifier 
)            line 354 cols 20-20 is ')' 
:            line 354 cols 21-21 is ':' 
BasicConv2d  line 354 cols 23-33 is T_Identifier 
(            line 354 cols 34-34 is '(' 
(            line 355 cols 7-7 is '(' 
conv         line 355 cols 8-11 is T_Identifier 
)            line 355 cols 12-12 is ')' 
:            line 355 cols 13-13 is ':' 
Conv2d       line 355 cols 15-20 is T_Conv2d 
(            line 355 cols 21-21 is '(' 
1280         line 355 cols 22-25 is T_IntConstant (value = 1280)
,            line 355 cols 26-26 is ',' 
448          line 355 cols 28-30 is T_IntConstant (value = 448)
,            line 355 cols 31-31 is ',' 
kernel_size  line 355 cols 33-43 is T_kernel_size 
=            line 355 cols 44-44 is '=' 
(            line 355 cols 45-45 is '(' 
1            line 355 cols 46-46 is T_IntConstant (value = 1)
,            line 355 cols 47-47 is ',' 
1            line 355 cols 49-49 is T_IntConstant (value = 1)
)            line 355 cols 50-50 is ')' 
,            line 355 cols 51-51 is ',' 
stride       line 355 cols 53-58 is T_stride 
=            line 355 cols 59-59 is '=' 
(            line 355 cols 60-60 is '(' 
1            line 355 cols 61-61 is T_IntConstant (value = 1)
,            line 355 cols 62-62 is ',' 
1            line 355 cols 64-64 is T_IntConstant (value = 1)
)            line 355 cols 65-65 is ')' 
,            line 355 cols 66-66 is ',' 
bias         line 355 cols 68-71 is T_bias 
=            line 355 cols 72-72 is '=' 
False        line 355 cols 73-77 is T_BoolConstant (value = false)
)            line 355 cols 78-78 is ')' 
(            line 356 cols 7-7 is '(' 
bn           line 356 cols 8-9 is T_Identifier 
)            line 356 cols 10-10 is ')' 
:            line 356 cols 11-11 is ':' 
BatchNorm2d  line 356 cols 13-23 is T_BatchNorm2d 
(            line 356 cols 24-24 is '(' 
448          line 356 cols 25-27 is T_IntConstant (value = 448)
,            line 356 cols 28-28 is ',' 
eps          line 356 cols 30-32 is T_eps 
=            line 356 cols 33-33 is '=' 
0.001        line 356 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 356 cols 39-39 is ',' 
momentum     line 356 cols 41-48 is T_momentum 
=            line 356 cols 49-49 is '=' 
0.1          line 356 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 356 cols 53-53 is ',' 
affine       line 356 cols 55-60 is T_Identifier 
=            line 356 cols 61-61 is '=' 
True         line 356 cols 62-65 is T_BoolConstant (value = true)
,            line 356 cols 66-66 is ',' 
track_running_stats line 356 cols 68-86 is T_track_running_stats 
=            line 356 cols 87-87 is '=' 
True         line 356 cols 88-91 is T_BoolConstant (value = true)
)            line 356 cols 92-92 is ')' 
)            line 357 cols 5-5 is ')' 
(            line 358 cols 5-5 is '(' 
branch3x3dbl_2 line 358 cols 6-19 is T_Identifier 
)            line 358 cols 20-20 is ')' 
:            line 358 cols 21-21 is ':' 
BasicConv2d  line 358 cols 23-33 is T_Identifier 
(            line 358 cols 34-34 is '(' 
(            line 359 cols 7-7 is '(' 
conv         line 359 cols 8-11 is T_Identifier 
)            line 359 cols 12-12 is ')' 
:            line 359 cols 13-13 is ':' 
Conv2d       line 359 cols 15-20 is T_Conv2d 
(            line 359 cols 21-21 is '(' 
448          line 359 cols 22-24 is T_IntConstant (value = 448)
,            line 359 cols 25-25 is ',' 
384          line 359 cols 27-29 is T_IntConstant (value = 384)
,            line 359 cols 30-30 is ',' 
kernel_size  line 359 cols 32-42 is T_kernel_size 
=            line 359 cols 43-43 is '=' 
(            line 359 cols 44-44 is '(' 
3            line 359 cols 45-45 is T_IntConstant (value = 3)
,            line 359 cols 46-46 is ',' 
3            line 359 cols 48-48 is T_IntConstant (value = 3)
)            line 359 cols 49-49 is ')' 
,            line 359 cols 50-50 is ',' 
stride       line 359 cols 52-57 is T_stride 
=            line 359 cols 58-58 is '=' 
(            line 359 cols 59-59 is '(' 
1            line 359 cols 60-60 is T_IntConstant (value = 1)
,            line 359 cols 61-61 is ',' 
1            line 359 cols 63-63 is T_IntConstant (value = 1)
)            line 359 cols 64-64 is ')' 
,            line 359 cols 65-65 is ',' 
padding      line 359 cols 67-73 is T_padding 
=            line 359 cols 74-74 is '=' 
(            line 359 cols 75-75 is '(' 
1            line 359 cols 76-76 is T_IntConstant (value = 1)
,            line 359 cols 77-77 is ',' 
1            line 359 cols 79-79 is T_IntConstant (value = 1)
)            line 359 cols 80-80 is ')' 
,            line 359 cols 81-81 is ',' 
bias         line 359 cols 83-86 is T_bias 
=            line 359 cols 87-87 is '=' 
False        line 359 cols 88-92 is T_BoolConstant (value = false)
)            line 359 cols 93-93 is ')' 
(            line 360 cols 7-7 is '(' 
bn           line 360 cols 8-9 is T_Identifier 
)            line 360 cols 10-10 is ')' 
:            line 360 cols 11-11 is ':' 
BatchNorm2d  line 360 cols 13-23 is T_BatchNorm2d 
(            line 360 cols 24-24 is '(' 
384          line 360 cols 25-27 is T_IntConstant (value = 384)
,            line 360 cols 28-28 is ',' 
eps          line 360 cols 30-32 is T_eps 
=            line 360 cols 33-33 is '=' 
0.001        line 360 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 360 cols 39-39 is ',' 
momentum     line 360 cols 41-48 is T_momentum 
=            line 360 cols 49-49 is '=' 
0.1          line 360 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 360 cols 53-53 is ',' 
affine       line 360 cols 55-60 is T_Identifier 
=            line 360 cols 61-61 is '=' 
True         line 360 cols 62-65 is T_BoolConstant (value = true)
,            line 360 cols 66-66 is ',' 
track_running_stats line 360 cols 68-86 is T_track_running_stats 
=            line 360 cols 87-87 is '=' 
True         line 360 cols 88-91 is T_BoolConstant (value = true)
)            line 360 cols 92-92 is ')' 
)            line 361 cols 5-5 is ')' 
(            line 362 cols 5-5 is '(' 
branch3x3dbl_3a line 362 cols 6-20 is T_Identifier 
)            line 362 cols 21-21 is ')' 
:            line 362 cols 22-22 is ':' 
BasicConv2d  line 362 cols 24-34 is T_Identifier 
(            line 362 cols 35-35 is '(' 
(            line 363 cols 7-7 is '(' 
conv         line 363 cols 8-11 is T_Identifier 
)            line 363 cols 12-12 is ')' 
:            line 363 cols 13-13 is ':' 
Conv2d       line 363 cols 15-20 is T_Conv2d 
(            line 363 cols 21-21 is '(' 
384          line 363 cols 22-24 is T_IntConstant (value = 384)
,            line 363 cols 25-25 is ',' 
384          line 363 cols 27-29 is T_IntConstant (value = 384)
,            line 363 cols 30-30 is ',' 
kernel_size  line 363 cols 32-42 is T_kernel_size 
=            line 363 cols 43-43 is '=' 
(            line 363 cols 44-44 is '(' 
1            line 363 cols 45-45 is T_IntConstant (value = 1)
,            line 363 cols 46-46 is ',' 
3            line 363 cols 48-48 is T_IntConstant (value = 3)
)            line 363 cols 49-49 is ')' 
,            line 363 cols 50-50 is ',' 
stride       line 363 cols 52-57 is T_stride 
=            line 363 cols 58-58 is '=' 
(            line 363 cols 59-59 is '(' 
1            line 363 cols 60-60 is T_IntConstant (value = 1)
,            line 363 cols 61-61 is ',' 
1            line 363 cols 63-63 is T_IntConstant (value = 1)
)            line 363 cols 64-64 is ')' 
,            line 363 cols 65-65 is ',' 
padding      line 363 cols 67-73 is T_padding 
=            line 363 cols 74-74 is '=' 
(            line 363 cols 75-75 is '(' 
0            line 363 cols 76-76 is T_IntConstant (value = 0)
,            line 363 cols 77-77 is ',' 
1            line 363 cols 79-79 is T_IntConstant (value = 1)
)            line 363 cols 80-80 is ')' 
,            line 363 cols 81-81 is ',' 
bias         line 363 cols 83-86 is T_bias 
=            line 363 cols 87-87 is '=' 
False        line 363 cols 88-92 is T_BoolConstant (value = false)
)            line 363 cols 93-93 is ')' 
(            line 364 cols 7-7 is '(' 
bn           line 364 cols 8-9 is T_Identifier 
)            line 364 cols 10-10 is ')' 
:            line 364 cols 11-11 is ':' 
BatchNorm2d  line 364 cols 13-23 is T_BatchNorm2d 
(            line 364 cols 24-24 is '(' 
384          line 364 cols 25-27 is T_IntConstant (value = 384)
,            line 364 cols 28-28 is ',' 
eps          line 364 cols 30-32 is T_eps 
=            line 364 cols 33-33 is '=' 
0.001        line 364 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 364 cols 39-39 is ',' 
momentum     line 364 cols 41-48 is T_momentum 
=            line 364 cols 49-49 is '=' 
0.1          line 364 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 364 cols 53-53 is ',' 
affine       line 364 cols 55-60 is T_Identifier 
=            line 364 cols 61-61 is '=' 
True         line 364 cols 62-65 is T_BoolConstant (value = true)
,            line 364 cols 66-66 is ',' 
track_running_stats line 364 cols 68-86 is T_track_running_stats 
=            line 364 cols 87-87 is '=' 
True         line 364 cols 88-91 is T_BoolConstant (value = true)
)            line 364 cols 92-92 is ')' 
)            line 365 cols 5-5 is ')' 
(            line 366 cols 5-5 is '(' 
branch3x3dbl_3b line 366 cols 6-20 is T_Identifier 
)            line 366 cols 21-21 is ')' 
:            line 366 cols 22-22 is ':' 
BasicConv2d  line 366 cols 24-34 is T_Identifier 
(            line 366 cols 35-35 is '(' 
(            line 367 cols 7-7 is '(' 
conv         line 367 cols 8-11 is T_Identifier 
)            line 367 cols 12-12 is ')' 
:            line 367 cols 13-13 is ':' 
Conv2d       line 367 cols 15-20 is T_Conv2d 
(            line 367 cols 21-21 is '(' 
384          line 367 cols 22-24 is T_IntConstant (value = 384)
,            line 367 cols 25-25 is ',' 
384          line 367 cols 27-29 is T_IntConstant (value = 384)
,            line 367 cols 30-30 is ',' 
kernel_size  line 367 cols 32-42 is T_kernel_size 
=            line 367 cols 43-43 is '=' 
(            line 367 cols 44-44 is '(' 
3            line 367 cols 45-45 is T_IntConstant (value = 3)
,            line 367 cols 46-46 is ',' 
1            line 367 cols 48-48 is T_IntConstant (value = 1)
)            line 367 cols 49-49 is ')' 
,            line 367 cols 50-50 is ',' 
stride       line 367 cols 52-57 is T_stride 
=            line 367 cols 58-58 is '=' 
(            line 367 cols 59-59 is '(' 
1            line 367 cols 60-60 is T_IntConstant (value = 1)
,            line 367 cols 61-61 is ',' 
1            line 367 cols 63-63 is T_IntConstant (value = 1)
)            line 367 cols 64-64 is ')' 
,            line 367 cols 65-65 is ',' 
padding      line 367 cols 67-73 is T_padding 
=            line 367 cols 74-74 is '=' 
(            line 367 cols 75-75 is '(' 
1            line 367 cols 76-76 is T_IntConstant (value = 1)
,            line 367 cols 77-77 is ',' 
0            line 367 cols 79-79 is T_IntConstant (value = 0)
)            line 367 cols 80-80 is ')' 
,            line 367 cols 81-81 is ',' 
bias         line 367 cols 83-86 is T_bias 
=            line 367 cols 87-87 is '=' 
False        line 367 cols 88-92 is T_BoolConstant (value = false)
)            line 367 cols 93-93 is ')' 
(            line 368 cols 7-7 is '(' 
bn           line 368 cols 8-9 is T_Identifier 
)            line 368 cols 10-10 is ')' 
:            line 368 cols 11-11 is ':' 
BatchNorm2d  line 368 cols 13-23 is T_BatchNorm2d 
(            line 368 cols 24-24 is '(' 
384          line 368 cols 25-27 is T_IntConstant (value = 384)
,            line 368 cols 28-28 is ',' 
eps          line 368 cols 30-32 is T_eps 
=            line 368 cols 33-33 is '=' 
0.001        line 368 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 368 cols 39-39 is ',' 
momentum     line 368 cols 41-48 is T_momentum 
=            line 368 cols 49-49 is '=' 
0.1          line 368 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 368 cols 53-53 is ',' 
affine       line 368 cols 55-60 is T_Identifier 
=            line 368 cols 61-61 is '=' 
True         line 368 cols 62-65 is T_BoolConstant (value = true)
,            line 368 cols 66-66 is ',' 
track_running_stats line 368 cols 68-86 is T_track_running_stats 
=            line 368 cols 87-87 is '=' 
True         line 368 cols 88-91 is T_BoolConstant (value = true)
)            line 368 cols 92-92 is ')' 
)            line 369 cols 5-5 is ')' 
(            line 370 cols 5-5 is '(' 
branch_pool  line 370 cols 6-16 is T_Identifier 
)            line 370 cols 17-17 is ')' 
:            line 370 cols 18-18 is ':' 
BasicConv2d  line 370 cols 20-30 is T_Identifier 
(            line 370 cols 31-31 is '(' 
(            line 371 cols 7-7 is '(' 
conv         line 371 cols 8-11 is T_Identifier 
)            line 371 cols 12-12 is ')' 
:            line 371 cols 13-13 is ':' 
Conv2d       line 371 cols 15-20 is T_Conv2d 
(            line 371 cols 21-21 is '(' 
1280         line 371 cols 22-25 is T_IntConstant (value = 1280)
,            line 371 cols 26-26 is ',' 
192          line 371 cols 28-30 is T_IntConstant (value = 192)
,            line 371 cols 31-31 is ',' 
kernel_size  line 371 cols 33-43 is T_kernel_size 
=            line 371 cols 44-44 is '=' 
(            line 371 cols 45-45 is '(' 
1            line 371 cols 46-46 is T_IntConstant (value = 1)
,            line 371 cols 47-47 is ',' 
1            line 371 cols 49-49 is T_IntConstant (value = 1)
)            line 371 cols 50-50 is ')' 
,            line 371 cols 51-51 is ',' 
stride       line 371 cols 53-58 is T_stride 
=            line 371 cols 59-59 is '=' 
(            line 371 cols 60-60 is '(' 
1            line 371 cols 61-61 is T_IntConstant (value = 1)
,            line 371 cols 62-62 is ',' 
1            line 371 cols 64-64 is T_IntConstant (value = 1)
)            line 371 cols 65-65 is ')' 
,            line 371 cols 66-66 is ',' 
bias         line 371 cols 68-71 is T_bias 
=            line 371 cols 72-72 is '=' 
False        line 371 cols 73-77 is T_BoolConstant (value = false)
)            line 371 cols 78-78 is ')' 
(            line 372 cols 7-7 is '(' 
bn           line 372 cols 8-9 is T_Identifier 
)            line 372 cols 10-10 is ')' 
:            line 372 cols 11-11 is ':' 
BatchNorm2d  line 372 cols 13-23 is T_BatchNorm2d 
(            line 372 cols 24-24 is '(' 
192          line 372 cols 25-27 is T_IntConstant (value = 192)
,            line 372 cols 28-28 is ',' 
eps          line 372 cols 30-32 is T_eps 
=            line 372 cols 33-33 is '=' 
0.001        line 372 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 372 cols 39-39 is ',' 
momentum     line 372 cols 41-48 is T_momentum 
=            line 372 cols 49-49 is '=' 
0.1          line 372 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 372 cols 53-53 is ',' 
affine       line 372 cols 55-60 is T_Identifier 
=            line 372 cols 61-61 is '=' 
True         line 372 cols 62-65 is T_BoolConstant (value = true)
,            line 372 cols 66-66 is ',' 
track_running_stats line 372 cols 68-86 is T_track_running_stats 
=            line 372 cols 87-87 is '=' 
True         line 372 cols 88-91 is T_BoolConstant (value = true)
)            line 372 cols 92-92 is ')' 
)            line 373 cols 5-5 is ')' 
)            line 374 cols 3-3 is ')' 
(            line 375 cols 3-3 is '(' 
Mixed_7c     line 375 cols 4-11 is T_Identifier 
)            line 375 cols 12-12 is ')' 
:            line 375 cols 13-13 is ':' 
InceptionE   line 375 cols 15-24 is T_Identifier 
(            line 375 cols 25-25 is '(' 
(            line 376 cols 5-5 is '(' 
branch1x1    line 376 cols 6-14 is T_Identifier 
)            line 376 cols 15-15 is ')' 
:            line 376 cols 16-16 is ':' 
BasicConv2d  line 376 cols 18-28 is T_Identifier 
(            line 376 cols 29-29 is '(' 
(            line 377 cols 7-7 is '(' 
conv         line 377 cols 8-11 is T_Identifier 
)            line 377 cols 12-12 is ')' 
:            line 377 cols 13-13 is ':' 
Conv2d       line 377 cols 15-20 is T_Conv2d 
(            line 377 cols 21-21 is '(' 
2048         line 377 cols 22-25 is T_IntConstant (value = 2048)
,            line 377 cols 26-26 is ',' 
320          line 377 cols 28-30 is T_IntConstant (value = 320)
,            line 377 cols 31-31 is ',' 
kernel_size  line 377 cols 33-43 is T_kernel_size 
=            line 377 cols 44-44 is '=' 
(            line 377 cols 45-45 is '(' 
1            line 377 cols 46-46 is T_IntConstant (value = 1)
,            line 377 cols 47-47 is ',' 
1            line 377 cols 49-49 is T_IntConstant (value = 1)
)            line 377 cols 50-50 is ')' 
,            line 377 cols 51-51 is ',' 
stride       line 377 cols 53-58 is T_stride 
=            line 377 cols 59-59 is '=' 
(            line 377 cols 60-60 is '(' 
1            line 377 cols 61-61 is T_IntConstant (value = 1)
,            line 377 cols 62-62 is ',' 
1            line 377 cols 64-64 is T_IntConstant (value = 1)
)            line 377 cols 65-65 is ')' 
,            line 377 cols 66-66 is ',' 
bias         line 377 cols 68-71 is T_bias 
=            line 377 cols 72-72 is '=' 
False        line 377 cols 73-77 is T_BoolConstant (value = false)
)            line 377 cols 78-78 is ')' 
(            line 378 cols 7-7 is '(' 
bn           line 378 cols 8-9 is T_Identifier 
)            line 378 cols 10-10 is ')' 
:            line 378 cols 11-11 is ':' 
BatchNorm2d  line 378 cols 13-23 is T_BatchNorm2d 
(            line 378 cols 24-24 is '(' 
320          line 378 cols 25-27 is T_IntConstant (value = 320)
,            line 378 cols 28-28 is ',' 
eps          line 378 cols 30-32 is T_eps 
=            line 378 cols 33-33 is '=' 
0.001        line 378 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 378 cols 39-39 is ',' 
momentum     line 378 cols 41-48 is T_momentum 
=            line 378 cols 49-49 is '=' 
0.1          line 378 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 378 cols 53-53 is ',' 
affine       line 378 cols 55-60 is T_Identifier 
=            line 378 cols 61-61 is '=' 
True         line 378 cols 62-65 is T_BoolConstant (value = true)
,            line 378 cols 66-66 is ',' 
track_running_stats line 378 cols 68-86 is T_track_running_stats 
=            line 378 cols 87-87 is '=' 
True         line 378 cols 88-91 is T_BoolConstant (value = true)
)            line 378 cols 92-92 is ')' 
)            line 379 cols 5-5 is ')' 
(            line 380 cols 5-5 is '(' 
branch3x3_1  line 380 cols 6-16 is T_Identifier 
)            line 380 cols 17-17 is ')' 
:            line 380 cols 18-18 is ':' 
BasicConv2d  line 380 cols 20-30 is T_Identifier 
(            line 380 cols 31-31 is '(' 
(            line 381 cols 7-7 is '(' 
conv         line 381 cols 8-11 is T_Identifier 
)            line 381 cols 12-12 is ')' 
:            line 381 cols 13-13 is ':' 
Conv2d       line 381 cols 15-20 is T_Conv2d 
(            line 381 cols 21-21 is '(' 
2048         line 381 cols 22-25 is T_IntConstant (value = 2048)
,            line 381 cols 26-26 is ',' 
384          line 381 cols 28-30 is T_IntConstant (value = 384)
,            line 381 cols 31-31 is ',' 
kernel_size  line 381 cols 33-43 is T_kernel_size 
=            line 381 cols 44-44 is '=' 
(            line 381 cols 45-45 is '(' 
1            line 381 cols 46-46 is T_IntConstant (value = 1)
,            line 381 cols 47-47 is ',' 
1            line 381 cols 49-49 is T_IntConstant (value = 1)
)            line 381 cols 50-50 is ')' 
,            line 381 cols 51-51 is ',' 
stride       line 381 cols 53-58 is T_stride 
=            line 381 cols 59-59 is '=' 
(            line 381 cols 60-60 is '(' 
1            line 381 cols 61-61 is T_IntConstant (value = 1)
,            line 381 cols 62-62 is ',' 
1            line 381 cols 64-64 is T_IntConstant (value = 1)
)            line 381 cols 65-65 is ')' 
,            line 381 cols 66-66 is ',' 
bias         line 381 cols 68-71 is T_bias 
=            line 381 cols 72-72 is '=' 
False        line 381 cols 73-77 is T_BoolConstant (value = false)
)            line 381 cols 78-78 is ')' 
(            line 382 cols 7-7 is '(' 
bn           line 382 cols 8-9 is T_Identifier 
)            line 382 cols 10-10 is ')' 
:            line 382 cols 11-11 is ':' 
BatchNorm2d  line 382 cols 13-23 is T_BatchNorm2d 
(            line 382 cols 24-24 is '(' 
384          line 382 cols 25-27 is T_IntConstant (value = 384)
,            line 382 cols 28-28 is ',' 
eps          line 382 cols 30-32 is T_eps 
=            line 382 cols 33-33 is '=' 
0.001        line 382 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 382 cols 39-39 is ',' 
momentum     line 382 cols 41-48 is T_momentum 
=            line 382 cols 49-49 is '=' 
0.1          line 382 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 382 cols 53-53 is ',' 
affine       line 382 cols 55-60 is T_Identifier 
=            line 382 cols 61-61 is '=' 
True         line 382 cols 62-65 is T_BoolConstant (value = true)
,            line 382 cols 66-66 is ',' 
track_running_stats line 382 cols 68-86 is T_track_running_stats 
=            line 382 cols 87-87 is '=' 
True         line 382 cols 88-91 is T_BoolConstant (value = true)
)            line 382 cols 92-92 is ')' 
)            line 383 cols 5-5 is ')' 
(            line 384 cols 5-5 is '(' 
branch3x3_2a line 384 cols 6-17 is T_Identifier 
)            line 384 cols 18-18 is ')' 
:            line 384 cols 19-19 is ':' 
BasicConv2d  line 384 cols 21-31 is T_Identifier 
(            line 384 cols 32-32 is '(' 
(            line 385 cols 7-7 is '(' 
conv         line 385 cols 8-11 is T_Identifier 
)            line 385 cols 12-12 is ')' 
:            line 385 cols 13-13 is ':' 
Conv2d       line 385 cols 15-20 is T_Conv2d 
(            line 385 cols 21-21 is '(' 
384          line 385 cols 22-24 is T_IntConstant (value = 384)
,            line 385 cols 25-25 is ',' 
384          line 385 cols 27-29 is T_IntConstant (value = 384)
,            line 385 cols 30-30 is ',' 
kernel_size  line 385 cols 32-42 is T_kernel_size 
=            line 385 cols 43-43 is '=' 
(            line 385 cols 44-44 is '(' 
1            line 385 cols 45-45 is T_IntConstant (value = 1)
,            line 385 cols 46-46 is ',' 
3            line 385 cols 48-48 is T_IntConstant (value = 3)
)            line 385 cols 49-49 is ')' 
,            line 385 cols 50-50 is ',' 
stride       line 385 cols 52-57 is T_stride 
=            line 385 cols 58-58 is '=' 
(            line 385 cols 59-59 is '(' 
1            line 385 cols 60-60 is T_IntConstant (value = 1)
,            line 385 cols 61-61 is ',' 
1            line 385 cols 63-63 is T_IntConstant (value = 1)
)            line 385 cols 64-64 is ')' 
,            line 385 cols 65-65 is ',' 
padding      line 385 cols 67-73 is T_padding 
=            line 385 cols 74-74 is '=' 
(            line 385 cols 75-75 is '(' 
0            line 385 cols 76-76 is T_IntConstant (value = 0)
,            line 385 cols 77-77 is ',' 
1            line 385 cols 79-79 is T_IntConstant (value = 1)
)            line 385 cols 80-80 is ')' 
,            line 385 cols 81-81 is ',' 
bias         line 385 cols 83-86 is T_bias 
=            line 385 cols 87-87 is '=' 
False        line 385 cols 88-92 is T_BoolConstant (value = false)
)            line 385 cols 93-93 is ')' 
(            line 386 cols 7-7 is '(' 
bn           line 386 cols 8-9 is T_Identifier 
)            line 386 cols 10-10 is ')' 
:            line 386 cols 11-11 is ':' 
BatchNorm2d  line 386 cols 13-23 is T_BatchNorm2d 
(            line 386 cols 24-24 is '(' 
384          line 386 cols 25-27 is T_IntConstant (value = 384)
,            line 386 cols 28-28 is ',' 
eps          line 386 cols 30-32 is T_eps 
=            line 386 cols 33-33 is '=' 
0.001        line 386 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 386 cols 39-39 is ',' 
momentum     line 386 cols 41-48 is T_momentum 
=            line 386 cols 49-49 is '=' 
0.1          line 386 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 386 cols 53-53 is ',' 
affine       line 386 cols 55-60 is T_Identifier 
=            line 386 cols 61-61 is '=' 
True         line 386 cols 62-65 is T_BoolConstant (value = true)
,            line 386 cols 66-66 is ',' 
track_running_stats line 386 cols 68-86 is T_track_running_stats 
=            line 386 cols 87-87 is '=' 
True         line 386 cols 88-91 is T_BoolConstant (value = true)
)            line 386 cols 92-92 is ')' 
)            line 387 cols 5-5 is ')' 
(            line 388 cols 5-5 is '(' 
branch3x3_2b line 388 cols 6-17 is T_Identifier 
)            line 388 cols 18-18 is ')' 
:            line 388 cols 19-19 is ':' 
BasicConv2d  line 388 cols 21-31 is T_Identifier 
(            line 388 cols 32-32 is '(' 
(            line 389 cols 7-7 is '(' 
conv         line 389 cols 8-11 is T_Identifier 
)            line 389 cols 12-12 is ')' 
:            line 389 cols 13-13 is ':' 
Conv2d       line 389 cols 15-20 is T_Conv2d 
(            line 389 cols 21-21 is '(' 
384          line 389 cols 22-24 is T_IntConstant (value = 384)
,            line 389 cols 25-25 is ',' 
384          line 389 cols 27-29 is T_IntConstant (value = 384)
,            line 389 cols 30-30 is ',' 
kernel_size  line 389 cols 32-42 is T_kernel_size 
=            line 389 cols 43-43 is '=' 
(            line 389 cols 44-44 is '(' 
3            line 389 cols 45-45 is T_IntConstant (value = 3)
,            line 389 cols 46-46 is ',' 
1            line 389 cols 48-48 is T_IntConstant (value = 1)
)            line 389 cols 49-49 is ')' 
,            line 389 cols 50-50 is ',' 
stride       line 389 cols 52-57 is T_stride 
=            line 389 cols 58-58 is '=' 
(            line 389 cols 59-59 is '(' 
1            line 389 cols 60-60 is T_IntConstant (value = 1)
,            line 389 cols 61-61 is ',' 
1            line 389 cols 63-63 is T_IntConstant (value = 1)
)            line 389 cols 64-64 is ')' 
,            line 389 cols 65-65 is ',' 
padding      line 389 cols 67-73 is T_padding 
=            line 389 cols 74-74 is '=' 
(            line 389 cols 75-75 is '(' 
1            line 389 cols 76-76 is T_IntConstant (value = 1)
,            line 389 cols 77-77 is ',' 
0            line 389 cols 79-79 is T_IntConstant (value = 0)
)            line 389 cols 80-80 is ')' 
,            line 389 cols 81-81 is ',' 
bias         line 389 cols 83-86 is T_bias 
=            line 389 cols 87-87 is '=' 
False        line 389 cols 88-92 is T_BoolConstant (value = false)
)            line 389 cols 93-93 is ')' 
(            line 390 cols 7-7 is '(' 
bn           line 390 cols 8-9 is T_Identifier 
)            line 390 cols 10-10 is ')' 
:            line 390 cols 11-11 is ':' 
BatchNorm2d  line 390 cols 13-23 is T_BatchNorm2d 
(            line 390 cols 24-24 is '(' 
384          line 390 cols 25-27 is T_IntConstant (value = 384)
,            line 390 cols 28-28 is ',' 
eps          line 390 cols 30-32 is T_eps 
=            line 390 cols 33-33 is '=' 
0.001        line 390 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 390 cols 39-39 is ',' 
momentum     line 390 cols 41-48 is T_momentum 
=            line 390 cols 49-49 is '=' 
0.1          line 390 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 390 cols 53-53 is ',' 
affine       line 390 cols 55-60 is T_Identifier 
=            line 390 cols 61-61 is '=' 
True         line 390 cols 62-65 is T_BoolConstant (value = true)
,            line 390 cols 66-66 is ',' 
track_running_stats line 390 cols 68-86 is T_track_running_stats 
=            line 390 cols 87-87 is '=' 
True         line 390 cols 88-91 is T_BoolConstant (value = true)
)            line 390 cols 92-92 is ')' 
)            line 391 cols 5-5 is ')' 
(            line 392 cols 5-5 is '(' 
branch3x3dbl_1 line 392 cols 6-19 is T_Identifier 
)            line 392 cols 20-20 is ')' 
:            line 392 cols 21-21 is ':' 
BasicConv2d  line 392 cols 23-33 is T_Identifier 
(            line 392 cols 34-34 is '(' 
(            line 393 cols 7-7 is '(' 
conv         line 393 cols 8-11 is T_Identifier 
)            line 393 cols 12-12 is ')' 
:            line 393 cols 13-13 is ':' 
Conv2d       line 393 cols 15-20 is T_Conv2d 
(            line 393 cols 21-21 is '(' 
2048         line 393 cols 22-25 is T_IntConstant (value = 2048)
,            line 393 cols 26-26 is ',' 
448          line 393 cols 28-30 is T_IntConstant (value = 448)
,            line 393 cols 31-31 is ',' 
kernel_size  line 393 cols 33-43 is T_kernel_size 
=            line 393 cols 44-44 is '=' 
(            line 393 cols 45-45 is '(' 
1            line 393 cols 46-46 is T_IntConstant (value = 1)
,            line 393 cols 47-47 is ',' 
1            line 393 cols 49-49 is T_IntConstant (value = 1)
)            line 393 cols 50-50 is ')' 
,            line 393 cols 51-51 is ',' 
