Inception3   line 1 cols 1-10 is T_Identifier 
(            line 20 cols 19-19 is '(' 
80           line 20 cols 20-21 is T_IntConstant (value = 80)
,            line 20 cols 22-22 is ',' 
192          line 20 cols 24-26 is T_IntConstant (value = 192)
,            line 20 cols 27-27 is ',' 
kernel_size  line 20 cols 29-39 is T_kernel_size 
=            line 20 cols 40-40 is '=' 
(            line 20 cols 41-41 is '(' 
3            line 20 cols 42-42 is T_IntConstant (value = 3)
,            line 20 cols 43-43 is ',' 
3            line 20 cols 45-45 is T_IntConstant (value = 3)
)            line 20 cols 46-46 is ')' 
,            line 20 cols 47-47 is ',' 
stride       line 20 cols 49-54 is T_stride 
=            line 20 cols 55-55 is '=' 
(            line 20 cols 56-56 is '(' 
1            line 20 cols 57-57 is T_IntConstant (value = 1)
,            line 20 cols 58-58 is ',' 
1            line 20 cols 60-60 is T_IntConstant (value = 1)
)            line 20 cols 61-61 is ')' 
,            line 20 cols 62-62 is ',' 
bias         line 20 cols 64-67 is T_bias 
=            line 20 cols 68-68 is '=' 
False        line 20 cols 69-73 is T_BoolConstant (value = false)
)            line 20 cols 74-74 is ')' 
(            line 21 cols 5-5 is '(' 
bn           line 21 cols 6-7 is T_Identifier 
)            line 21 cols 8-8 is ')' 
:            line 21 cols 9-9 is ':' 
BatchNorm2d  line 21 cols 11-21 is T_BatchNorm2d 
(            line 21 cols 22-22 is '(' 
192          line 21 cols 23-25 is T_IntConstant (value = 192)
,            line 21 cols 26-26 is ',' 
eps          line 21 cols 28-30 is T_eps 
=            line 21 cols 31-31 is '=' 
0.001        line 21 cols 32-36 is T_DoubleConstant (value = 0.001)
,            line 21 cols 37-37 is ',' 
momentum     line 21 cols 39-46 is T_momentum 
=            line 21 cols 47-47 is '=' 
0.1          line 21 cols 48-50 is T_DoubleConstant (value = 0.1)
,            line 21 cols 51-51 is ',' 
affine       line 21 cols 53-58 is T_Identifier 
=            line 21 cols 59-59 is '=' 
True         line 21 cols 60-63 is T_BoolConstant (value = true)
,            line 21 cols 64-64 is ',' 
track_running_stats line 21 cols 66-84 is T_track_running_stats 
=            line 21 cols 85-85 is '=' 
True         line 21 cols 86-89 is T_BoolConstant (value = true)
)            line 21 cols 90-90 is ')' 
)            line 22 cols 3-3 is ')' 
(            line 23 cols 3-3 is '(' 
maxpool2     line 23 cols 4-11 is T_Identifier 
)            line 23 cols 12-12 is ')' 
:            line 23 cols 13-13 is ':' 
MaxPool2d    line 23 cols 15-23 is T_MaxPool2d 
(            line 23 cols 24-24 is '(' 
kernel_size  line 23 cols 25-35 is T_kernel_size 
=            line 23 cols 36-36 is '=' 
3            line 23 cols 37-37 is T_IntConstant (value = 3)
,            line 23 cols 38-38 is ',' 
stride       line 23 cols 40-45 is T_stride 
=            line 23 cols 46-46 is '=' 
2            line 23 cols 47-47 is T_IntConstant (value = 2)
,            line 23 cols 48-48 is ',' 
padding      line 23 cols 50-56 is T_padding 
=            line 23 cols 57-57 is '=' 
0            line 23 cols 58-58 is T_IntConstant (value = 0)
,            line 23 cols 59-59 is ',' 
dilation     line 23 cols 61-68 is T_dilation 
=            line 23 cols 69-69 is '=' 
1            line 23 cols 70-70 is T_IntConstant (value = 1)
,            line 23 cols 71-71 is ',' 
ceil_mode    line 23 cols 73-81 is T_ceil_mode 
=            line 23 cols 82-82 is '=' 
False        line 23 cols 83-87 is T_BoolConstant (value = false)
)            line 23 cols 88-88 is ')' 
(            line 24 cols 3-3 is '(' 
Mixed_5b     line 24 cols 4-11 is T_Identifier 
)            line 24 cols 12-12 is ')' 
:            line 24 cols 13-13 is ':' 
InceptionA   line 24 cols 15-24 is T_Identifier 
(            line 24 cols 25-25 is '(' 
(            line 25 cols 5-5 is '(' 
branch1x1    line 25 cols 6-14 is T_Identifier 
)            line 25 cols 15-15 is ')' 
:            line 25 cols 16-16 is ':' 
BasicConv2d  line 25 cols 18-28 is T_Identifier 
(            line 25 cols 29-29 is '(' 
(            line 26 cols 7-7 is '(' 
conv         line 26 cols 8-11 is T_Identifier 
)            line 26 cols 12-12 is ')' 
:            line 26 cols 13-13 is ':' 
Conv2d       line 26 cols 15-20 is T_Conv2d 
(            line 26 cols 21-21 is '(' 
192          line 26 cols 22-24 is T_IntConstant (value = 192)
,            line 26 cols 25-25 is ',' 
64           line 26 cols 27-28 is T_IntConstant (value = 64)
,            line 26 cols 29-29 is ',' 
kernel_size  line 26 cols 31-41 is T_kernel_size 
=            line 26 cols 42-42 is '=' 
(            line 26 cols 43-43 is '(' 
1            line 26 cols 44-44 is T_IntConstant (value = 1)
,            line 26 cols 45-45 is ',' 
1            line 26 cols 47-47 is T_IntConstant (value = 1)
)            line 26 cols 48-48 is ')' 
,            line 26 cols 49-49 is ',' 
stride       line 26 cols 51-56 is T_stride 
=            line 26 cols 57-57 is '=' 
(            line 26 cols 58-58 is '(' 
1            line 26 cols 59-59 is T_IntConstant (value = 1)
,            line 26 cols 60-60 is ',' 
1            line 26 cols 62-62 is T_IntConstant (value = 1)
)            line 26 cols 63-63 is ')' 
,            line 26 cols 64-64 is ',' 
bias         line 26 cols 66-69 is T_bias 
=            line 26 cols 70-70 is '=' 
False        line 26 cols 71-75 is T_BoolConstant (value = false)
)            line 26 cols 76-76 is ')' 
(            line 27 cols 7-7 is '(' 
bn           line 27 cols 8-9 is T_Identifier 
)            line 27 cols 10-10 is ')' 
:            line 27 cols 11-11 is ':' 
BatchNorm2d  line 27 cols 13-23 is T_BatchNorm2d 
(            line 27 cols 24-24 is '(' 
64           line 27 cols 25-26 is T_IntConstant (value = 64)
,            line 27 cols 27-27 is ',' 
eps          line 27 cols 29-31 is T_eps 
=            line 27 cols 32-32 is '=' 
0.001        line 27 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 27 cols 38-38 is ',' 
momentum     line 27 cols 40-47 is T_momentum 
=            line 27 cols 48-48 is '=' 
0.1          line 27 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 27 cols 52-52 is ',' 
affine       line 27 cols 54-59 is T_Identifier 
=            line 27 cols 60-60 is '=' 
True         line 27 cols 61-64 is T_BoolConstant (value = true)
,            line 27 cols 65-65 is ',' 
track_running_stats line 27 cols 67-85 is T_track_running_stats 
=            line 27 cols 86-86 is '=' 
True         line 27 cols 87-90 is T_BoolConstant (value = true)
)            line 27 cols 91-91 is ')' 
)            line 28 cols 5-5 is ')' 
(            line 29 cols 5-5 is '(' 
branch5x5_1  line 29 cols 6-16 is T_Identifier 
)            line 29 cols 17-17 is ')' 
:            line 29 cols 18-18 is ':' 
BasicConv2d  line 29 cols 20-30 is T_Identifier 
(            line 29 cols 31-31 is '(' 
(            line 30 cols 7-7 is '(' 
conv         line 30 cols 8-11 is T_Identifier 
)            line 30 cols 12-12 is ')' 
:            line 30 cols 13-13 is ':' 
Conv2d       line 30 cols 15-20 is T_Conv2d 
(            line 30 cols 21-21 is '(' 
192          line 30 cols 22-24 is T_IntConstant (value = 192)
,            line 30 cols 25-25 is ',' 
48           line 30 cols 27-28 is T_IntConstant (value = 48)
,            line 30 cols 29-29 is ',' 
kernel_size  line 30 cols 31-41 is T_kernel_size 
=            line 30 cols 42-42 is '=' 
(            line 30 cols 43-43 is '(' 
1            line 30 cols 44-44 is T_IntConstant (value = 1)
