DenseNet     line 1 cols 1-8 is T_Identifier 
)            line 20 cols 97-97 is ')' 
(            line 21 cols 9-9 is '(' 
relu2        line 21 cols 10-14 is T_Identifier 
)            line 21 cols 15-15 is ')' 
:            line 21 cols 16-16 is ':' 
ReLU         line 21 cols 18-21 is T_ReLU 
(            line 21 cols 22-22 is '(' 
inplace      line 21 cols 23-29 is T_inplace 
=            line 21 cols 30-30 is '=' 
True         line 21 cols 31-34 is T_BoolConstant (value = true)
)            line 21 cols 35-35 is ')' 
(            line 22 cols 9-9 is '(' 
conv2        line 22 cols 10-14 is T_Identifier 
)            line 22 cols 15-15 is ')' 
:            line 22 cols 16-16 is ':' 
Conv2d       line 22 cols 18-23 is T_Conv2d 
(            line 22 cols 24-24 is '(' 
128          line 22 cols 25-27 is T_IntConstant (value = 128)
,            line 22 cols 28-28 is ',' 
32           line 22 cols 30-31 is T_IntConstant (value = 32)
,            line 22 cols 32-32 is ',' 
kernel_size  line 22 cols 34-44 is T_kernel_size 
=            line 22 cols 45-45 is '=' 
(            line 22 cols 46-46 is '(' 
3            line 22 cols 47-47 is T_IntConstant (value = 3)
,            line 22 cols 48-48 is ',' 
3            line 22 cols 50-50 is T_IntConstant (value = 3)
)            line 22 cols 51-51 is ')' 
,            line 22 cols 52-52 is ',' 
stride       line 22 cols 54-59 is T_stride 
=            line 22 cols 60-60 is '=' 
(            line 22 cols 61-61 is '(' 
1            line 22 cols 62-62 is T_IntConstant (value = 1)
,            line 22 cols 63-63 is ',' 
1            line 22 cols 65-65 is T_IntConstant (value = 1)
)            line 22 cols 66-66 is ')' 
,            line 22 cols 67-67 is ',' 
padding      line 22 cols 69-75 is T_padding 
=            line 22 cols 76-76 is '=' 
(            line 22 cols 77-77 is '(' 
1            line 22 cols 78-78 is T_IntConstant (value = 1)
,            line 22 cols 79-79 is ',' 
1            line 22 cols 81-81 is T_IntConstant (value = 1)
)            line 22 cols 82-82 is ')' 
,            line 22 cols 83-83 is ',' 
bias         line 22 cols 85-88 is T_bias 
=            line 22 cols 89-89 is '=' 
False        line 22 cols 90-94 is T_BoolConstant (value = false)
)            line 22 cols 95-95 is ')' 
)            line 23 cols 7-7 is ')' 
(            line 24 cols 7-7 is '(' 
denselayer3  line 24 cols 8-18 is T_Identifier 
)            line 24 cols 19-19 is ')' 
:            line 24 cols 20-20 is ':' 
_DenseLayer  line 24 cols 22-32 is T_Identifier 
(            line 24 cols 33-33 is '(' 
(            line 25 cols 9-9 is '(' 
norm1        line 25 cols 10-14 is T_Identifier 
)            line 25 cols 15-15 is ')' 
:            line 25 cols 16-16 is ':' 
BatchNorm2d  line 25 cols 18-28 is T_BatchNorm2d 
(            line 25 cols 29-29 is '(' 
128          line 25 cols 30-32 is T_IntConstant (value = 128)
,            line 25 cols 33-33 is ',' 
eps          line 25 cols 35-37 is T_eps 
=            line 25 cols 38-38 is '=' 
1e-05        line 25 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 25 cols 44-44 is ',' 
momentum     line 25 cols 46-53 is T_momentum 
=            line 25 cols 54-54 is '=' 
0.1          line 25 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 25 cols 58-58 is ',' 
affine       line 25 cols 60-65 is T_Identifier 
=            line 25 cols 66-66 is '=' 
True         line 25 cols 67-70 is T_BoolConstant (value = true)
,            line 25 cols 71-71 is ',' 
track_running_stats line 25 cols 73-91 is T_track_running_stats 
=            line 25 cols 92-92 is '=' 
True         line 25 cols 93-96 is T_BoolConstant (value = true)
)            line 25 cols 97-97 is ')' 
(            line 26 cols 9-9 is '(' 
relu1        line 26 cols 10-14 is T_Identifier 
)            line 26 cols 15-15 is ')' 
:            line 26 cols 16-16 is ':' 
ReLU         line 26 cols 18-21 is T_ReLU 
(            line 26 cols 22-22 is '(' 
inplace      line 26 cols 23-29 is T_inplace 
=            line 26 cols 30-30 is '=' 
True         line 26 cols 31-34 is T_BoolConstant (value = true)
)            line 26 cols 35-35 is ')' 
(            line 27 cols 9-9 is '(' 
conv1        line 27 cols 10-14 is T_Identifier 
)            line 27 cols 15-15 is ')' 
:            line 27 cols 16-16 is ':' 
Conv2d       line 27 cols 18-23 is T_Conv2d 
(            line 27 cols 24-24 is '(' 
128          line 27 cols 25-27 is T_IntConstant (value = 128)
,            line 27 cols 28-28 is ',' 
128          line 27 cols 30-32 is T_IntConstant (value = 128)
,            line 27 cols 33-33 is ',' 
kernel_size  line 27 cols 35-45 is T_kernel_size 
=            line 27 cols 46-46 is '=' 
(            line 27 cols 47-47 is '(' 
1            line 27 cols 48-48 is T_IntConstant (value = 1)
,            line 27 cols 49-49 is ',' 
1            line 27 cols 51-51 is T_IntConstant (value = 1)
)            line 27 cols 52-52 is ')' 
,            line 27 cols 53-53 is ',' 
stride       line 27 cols 55-60 is T_stride 
=            line 27 cols 61-61 is '=' 
(            line 27 cols 62-62 is '(' 
1            line 27 cols 63-63 is T_IntConstant (value = 1)
,            line 27 cols 64-64 is ',' 
1            line 27 cols 66-66 is T_IntConstant (value = 1)
)            line 27 cols 67-67 is ')' 
,            line 27 cols 68-68 is ',' 
bias         line 27 cols 70-73 is T_bias 
=            line 27 cols 74-74 is '=' 
False        line 27 cols 75-79 is T_BoolConstant (value = false)
)            line 27 cols 80-80 is ')' 
(            line 28 cols 9-9 is '(' 
norm2        line 28 cols 10-14 is T_Identifier 
)            line 28 cols 15-15 is ')' 
:            line 28 cols 16-16 is ':' 
BatchNorm2d  line 28 cols 18-28 is T_BatchNorm2d 
(            line 28 cols 29-29 is '(' 
128          line 28 cols 30-32 is T_IntConstant (value = 128)
,            line 28 cols 33-33 is ',' 
eps          line 28 cols 35-37 is T_eps 
=            line 28 cols 38-38 is '=' 
1e-05        line 28 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 28 cols 44-44 is ',' 
momentum     line 28 cols 46-53 is T_momentum 
=            line 28 cols 54-54 is '=' 
0.1          line 28 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 28 cols 58-58 is ',' 
affine       line 28 cols 60-65 is T_Identifier 
=            line 28 cols 66-66 is '=' 
True         line 28 cols 67-70 is T_BoolConstant (value = true)
,            line 28 cols 71-71 is ',' 
track_running_stats line 28 cols 73-91 is T_track_running_stats 
=            line 28 cols 92-92 is '=' 
True         line 28 cols 93-96 is T_BoolConstant (value = true)
)            line 28 cols 97-97 is ')' 
(            line 29 cols 9-9 is '(' 
relu2        line 29 cols 10-14 is T_Identifier 
)            line 29 cols 15-15 is ')' 
:            line 29 cols 16-16 is ':' 
ReLU         line 29 cols 18-21 is T_ReLU 
(            line 29 cols 22-22 is '(' 
inplace      line 29 cols 23-29 is T_inplace 
=            line 29 cols 30-30 is '=' 
True         line 29 cols 31-34 is T_BoolConstant (value = true)
)            line 29 cols 35-35 is ')' 
(            line 30 cols 9-9 is '(' 
conv2        line 30 cols 10-14 is T_Identifier 
)            line 30 cols 15-15 is ')' 
:            line 30 cols 16-16 is ':' 
Conv2d       line 30 cols 18-23 is T_Conv2d 
(            line 30 cols 24-24 is '(' 
128          line 30 cols 25-27 is T_IntConstant (value = 128)
,            line 30 cols 28-28 is ',' 
32           line 30 cols 30-31 is T_IntConstant (value = 32)
,            line 30 cols 32-32 is ',' 
kernel_size  line 30 cols 34-44 is T_kernel_size 
=            line 30 cols 45-45 is '=' 
(            line 30 cols 46-46 is '(' 
3            line 30 cols 47-47 is T_IntConstant (value = 3)
,            line 30 cols 48-48 is ',' 
3            line 30 cols 50-50 is T_IntConstant (value = 3)
)            line 30 cols 51-51 is ')' 
,            line 30 cols 52-52 is ',' 
stride       line 30 cols 54-59 is T_stride 
=            line 30 cols 60-60 is '=' 
(            line 30 cols 61-61 is '(' 
1            line 30 cols 62-62 is T_IntConstant (value = 1)
,            line 30 cols 63-63 is ',' 
1            line 30 cols 65-65 is T_IntConstant (value = 1)
)            line 30 cols 66-66 is ')' 
,            line 30 cols 67-67 is ',' 
padding      line 30 cols 69-75 is T_padding 
=            line 30 cols 76-76 is '=' 
(            line 30 cols 77-77 is '(' 
1            line 30 cols 78-78 is T_IntConstant (value = 1)
,            line 30 cols 79-79 is ',' 
1            line 30 cols 81-81 is T_IntConstant (value = 1)
