DenseNet     line 1 cols 1-8 is T_Identifier 
,            line 427 cols 33-33 is ',' 
kernel_size  line 427 cols 35-45 is T_kernel_size 
=            line 427 cols 46-46 is '=' 
(            line 427 cols 47-47 is '(' 
1            line 427 cols 48-48 is T_IntConstant (value = 1)
,            line 427 cols 49-49 is ',' 
1            line 427 cols 51-51 is T_IntConstant (value = 1)
)            line 427 cols 52-52 is ')' 
,            line 427 cols 53-53 is ',' 
stride       line 427 cols 55-60 is T_stride 
=            line 427 cols 61-61 is '=' 
(            line 427 cols 62-62 is '(' 
1            line 427 cols 63-63 is T_IntConstant (value = 1)
,            line 427 cols 64-64 is ',' 
1            line 427 cols 66-66 is T_IntConstant (value = 1)
)            line 427 cols 67-67 is ')' 
,            line 427 cols 68-68 is ',' 
bias         line 427 cols 70-73 is T_bias 
=            line 427 cols 74-74 is '=' 
False        line 427 cols 75-79 is T_BoolConstant (value = false)
)            line 427 cols 80-80 is ')' 
(            line 428 cols 9-9 is '(' 
norm2        line 428 cols 10-14 is T_Identifier 
)            line 428 cols 15-15 is ')' 
:            line 428 cols 16-16 is ':' 
BatchNorm2d  line 428 cols 18-28 is T_BatchNorm2d 
(            line 428 cols 29-29 is '(' 
128          line 428 cols 30-32 is T_IntConstant (value = 128)
,            line 428 cols 33-33 is ',' 
eps          line 428 cols 35-37 is T_eps 
=            line 428 cols 38-38 is '=' 
1e-05        line 428 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 428 cols 44-44 is ',' 
momentum     line 428 cols 46-53 is T_momentum 
=            line 428 cols 54-54 is '=' 
0.1          line 428 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 428 cols 58-58 is ',' 
affine       line 428 cols 60-65 is T_Identifier 
=            line 428 cols 66-66 is '=' 
True         line 428 cols 67-70 is T_BoolConstant (value = true)
,            line 428 cols 71-71 is ',' 
track_running_stats line 428 cols 73-91 is T_track_running_stats 
=            line 428 cols 92-92 is '=' 
True         line 428 cols 93-96 is T_BoolConstant (value = true)
)            line 428 cols 97-97 is ')' 
(            line 429 cols 9-9 is '(' 
relu2        line 429 cols 10-14 is T_Identifier 
)            line 429 cols 15-15 is ')' 
:            line 429 cols 16-16 is ':' 
ReLU         line 429 cols 18-21 is T_ReLU 
(            line 429 cols 22-22 is '(' 
inplace      line 429 cols 23-29 is T_inplace 
=            line 429 cols 30-30 is '=' 
True         line 429 cols 31-34 is T_BoolConstant (value = true)
)            line 429 cols 35-35 is ')' 
(            line 430 cols 9-9 is '(' 
conv2        line 430 cols 10-14 is T_Identifier 
)            line 430 cols 15-15 is ')' 
:            line 430 cols 16-16 is ':' 
Conv2d       line 430 cols 18-23 is T_Conv2d 
(            line 430 cols 24-24 is '(' 
128          line 430 cols 25-27 is T_IntConstant (value = 128)
,            line 430 cols 28-28 is ',' 
32           line 430 cols 30-31 is T_IntConstant (value = 32)
,            line 430 cols 32-32 is ',' 
kernel_size  line 430 cols 34-44 is T_kernel_size 
=            line 430 cols 45-45 is '=' 
(            line 430 cols 46-46 is '(' 
3            line 430 cols 47-47 is T_IntConstant (value = 3)
,            line 430 cols 48-48 is ',' 
3            line 430 cols 50-50 is T_IntConstant (value = 3)
)            line 430 cols 51-51 is ')' 
,            line 430 cols 52-52 is ',' 
stride       line 430 cols 54-59 is T_stride 
=            line 430 cols 60-60 is '=' 
(            line 430 cols 61-61 is '(' 
1            line 430 cols 62-62 is T_IntConstant (value = 1)
,            line 430 cols 63-63 is ',' 
1            line 430 cols 65-65 is T_IntConstant (value = 1)
)            line 430 cols 66-66 is ')' 
,            line 430 cols 67-67 is ',' 
padding      line 430 cols 69-75 is T_padding 
=            line 430 cols 76-76 is '=' 
(            line 430 cols 77-77 is '(' 
1            line 430 cols 78-78 is T_IntConstant (value = 1)
,            line 430 cols 79-79 is ',' 
1            line 430 cols 81-81 is T_IntConstant (value = 1)
)            line 430 cols 82-82 is ')' 
,            line 430 cols 83-83 is ',' 
bias         line 430 cols 85-88 is T_bias 
=            line 430 cols 89-89 is '=' 
False        line 430 cols 90-94 is T_BoolConstant (value = false)
)            line 430 cols 95-95 is ')' 
)            line 431 cols 7-7 is ')' 
(            line 432 cols 7-7 is '(' 
denselayer9  line 432 cols 8-18 is T_Identifier 
)            line 432 cols 19-19 is ')' 
:            line 432 cols 20-20 is ':' 
_DenseLayer  line 432 cols 22-32 is T_Identifier 
(            line 432 cols 33-33 is '(' 
(            line 433 cols 9-9 is '(' 
norm1        line 433 cols 10-14 is T_Identifier 
)            line 433 cols 15-15 is ')' 
:            line 433 cols 16-16 is ':' 
BatchNorm2d  line 433 cols 18-28 is T_BatchNorm2d 
(            line 433 cols 29-29 is '(' 
768          line 433 cols 30-32 is T_IntConstant (value = 768)
,            line 433 cols 33-33 is ',' 
eps          line 433 cols 35-37 is T_eps 
=            line 433 cols 38-38 is '=' 
1e-05        line 433 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 433 cols 44-44 is ',' 
momentum     line 433 cols 46-53 is T_momentum 
=            line 433 cols 54-54 is '=' 
0.1          line 433 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 433 cols 58-58 is ',' 
affine       line 433 cols 60-65 is T_Identifier 
=            line 433 cols 66-66 is '=' 
True         line 433 cols 67-70 is T_BoolConstant (value = true)
,            line 433 cols 71-71 is ',' 
track_running_stats line 433 cols 73-91 is T_track_running_stats 
=            line 433 cols 92-92 is '=' 
True         line 433 cols 93-96 is T_BoolConstant (value = true)
)            line 433 cols 97-97 is ')' 
(            line 434 cols 9-9 is '(' 
relu1        line 434 cols 10-14 is T_Identifier 
)            line 434 cols 15-15 is ')' 
:            line 434 cols 16-16 is ':' 
ReLU         line 434 cols 18-21 is T_ReLU 
(            line 434 cols 22-22 is '(' 
inplace      line 434 cols 23-29 is T_inplace 
=            line 434 cols 30-30 is '=' 
True         line 434 cols 31-34 is T_BoolConstant (value = true)
)            line 434 cols 35-35 is ')' 
(            line 435 cols 9-9 is '(' 
conv1        line 435 cols 10-14 is T_Identifier 
)            line 435 cols 15-15 is ')' 
:            line 435 cols 16-16 is ':' 
Conv2d       line 435 cols 18-23 is T_Conv2d 
(            line 435 cols 24-24 is '(' 
768          line 435 cols 25-27 is T_IntConstant (value = 768)
,            line 435 cols 28-28 is ',' 
128          line 435 cols 30-32 is T_IntConstant (value = 128)
,            line 435 cols 33-33 is ',' 
kernel_size  line 435 cols 35-45 is T_kernel_size 
=            line 435 cols 46-46 is '=' 
(            line 435 cols 47-47 is '(' 
1            line 435 cols 48-48 is T_IntConstant (value = 1)
,            line 435 cols 49-49 is ',' 
1            line 435 cols 51-51 is T_IntConstant (value = 1)
)            line 435 cols 52-52 is ')' 
,            line 435 cols 53-53 is ',' 
stride       line 435 cols 55-60 is T_stride 
=            line 435 cols 61-61 is '=' 
(            line 435 cols 62-62 is '(' 
1            line 435 cols 63-63 is T_IntConstant (value = 1)
,            line 435 cols 64-64 is ',' 
1            line 435 cols 66-66 is T_IntConstant (value = 1)
)            line 435 cols 67-67 is ')' 
,            line 435 cols 68-68 is ',' 
bias         line 435 cols 70-73 is T_bias 
=            line 435 cols 74-74 is '=' 
False        line 435 cols 75-79 is T_BoolConstant (value = false)
)            line 435 cols 80-80 is ')' 
(            line 436 cols 9-9 is '(' 
norm2        line 436 cols 10-14 is T_Identifier 
)            line 436 cols 15-15 is ')' 
:            line 436 cols 16-16 is ':' 
BatchNorm2d  line 436 cols 18-28 is T_BatchNorm2d 
(            line 436 cols 29-29 is '(' 
128          line 436 cols 30-32 is T_IntConstant (value = 128)
,            line 436 cols 33-33 is ',' 
eps          line 436 cols 35-37 is T_eps 
=            line 436 cols 38-38 is '=' 
1e-05        line 436 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 436 cols 44-44 is ',' 
momentum     line 436 cols 46-53 is T_momentum 
=            line 436 cols 54-54 is '=' 
0.1          line 436 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 436 cols 58-58 is ',' 
affine       line 436 cols 60-65 is T_Identifier 
=            line 436 cols 66-66 is '=' 
True         line 436 cols 67-70 is T_BoolConstant (value = true)
,            line 436 cols 71-71 is ',' 
track_running_stats line 436 cols 73-91 is T_track_running_stats 
=            line 436 cols 92-92 is '=' 
True         line 436 cols 93-96 is T_BoolConstant (value = true)
)            line 436 cols 97-97 is ')' 
(            line 437 cols 9-9 is '(' 
relu2        line 437 cols 10-14 is T_Identifier 
)            line 437 cols 15-15 is ')' 
:            line 437 cols 16-16 is ':' 
ReLU         line 437 cols 18-21 is T_ReLU 
(            line 437 cols 22-22 is '(' 
inplace      line 437 cols 23-29 is T_inplace 
=            line 437 cols 30-30 is '=' 
True         line 437 cols 31-34 is T_BoolConstant (value = true)
)            line 437 cols 35-35 is ')' 
(            line 438 cols 9-9 is '(' 
conv2        line 438 cols 10-14 is T_Identifier 
)            line 438 cols 15-15 is ')' 
:            line 438 cols 16-16 is ':' 
Conv2d       line 438 cols 18-23 is T_Conv2d 
(            line 438 cols 24-24 is '(' 
128          line 438 cols 25-27 is T_IntConstant (value = 128)
,            line 438 cols 28-28 is ',' 
32           line 438 cols 30-31 is T_IntConstant (value = 32)
,            line 438 cols 32-32 is ',' 
kernel_size  line 438 cols 34-44 is T_kernel_size 
=            line 438 cols 45-45 is '=' 
(            line 438 cols 46-46 is '(' 
3            line 438 cols 47-47 is T_IntConstant (value = 3)
,            line 438 cols 48-48 is ',' 
3            line 438 cols 50-50 is T_IntConstant (value = 3)
)            line 438 cols 51-51 is ')' 
,            line 438 cols 52-52 is ',' 
stride       line 438 cols 54-59 is T_stride 
=            line 438 cols 60-60 is '=' 
(            line 438 cols 61-61 is '(' 
1            line 438 cols 62-62 is T_IntConstant (value = 1)
,            line 438 cols 63-63 is ',' 
1            line 438 cols 65-65 is T_IntConstant (value = 1)
)            line 438 cols 66-66 is ')' 
,            line 438 cols 67-67 is ',' 
padding      line 438 cols 69-75 is T_padding 
=            line 438 cols 76-76 is '=' 
(            line 438 cols 77-77 is '(' 
1            line 438 cols 78-78 is T_IntConstant (value = 1)
,            line 438 cols 79-79 is ',' 
1            line 438 cols 81-81 is T_IntConstant (value = 1)
)            line 438 cols 82-82 is ')' 
,            line 438 cols 83-83 is ',' 
bias         line 438 cols 85-88 is T_bias 
=            line 438 cols 89-89 is '=' 
False        line 438 cols 90-94 is T_BoolConstant (value = false)
)            line 438 cols 95-95 is ')' 
)            line 439 cols 7-7 is ')' 
(            line 440 cols 7-7 is '(' 
denselayer10 line 440 cols 8-19 is T_Identifier 
)            line 440 cols 20-20 is ')' 
:            line 440 cols 21-21 is ':' 
_DenseLayer  line 440 cols 23-33 is T_Identifier 
(            line 440 cols 34-34 is '(' 
(            line 441 cols 9-9 is '(' 
norm1        line 441 cols 10-14 is T_Identifier 
)            line 441 cols 15-15 is ')' 
:            line 441 cols 16-16 is ':' 
BatchNorm2d  line 441 cols 18-28 is T_BatchNorm2d 
(            line 441 cols 29-29 is '(' 
800          line 441 cols 30-32 is T_IntConstant (value = 800)
,            line 441 cols 33-33 is ',' 
eps          line 441 cols 35-37 is T_eps 
=            line 441 cols 38-38 is '=' 
1e-05        line 441 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 441 cols 44-44 is ',' 
momentum     line 441 cols 46-53 is T_momentum 
=            line 441 cols 54-54 is '=' 
0.1          line 441 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 441 cols 58-58 is ',' 
affine       line 441 cols 60-65 is T_Identifier 
=            line 441 cols 66-66 is '=' 
True         line 441 cols 67-70 is T_BoolConstant (value = true)
,            line 441 cols 71-71 is ',' 
track_running_stats line 441 cols 73-91 is T_track_running_stats 
=            line 441 cols 92-92 is '=' 
True         line 441 cols 93-96 is T_BoolConstant (value = true)
)            line 441 cols 97-97 is ')' 
(            line 442 cols 9-9 is '(' 
relu1        line 442 cols 10-14 is T_Identifier 
)            line 442 cols 15-15 is ')' 
:            line 442 cols 16-16 is ':' 
ReLU         line 442 cols 18-21 is T_ReLU 
(            line 442 cols 22-22 is '(' 
inplace      line 442 cols 23-29 is T_inplace 
=            line 442 cols 30-30 is '=' 
True         line 442 cols 31-34 is T_BoolConstant (value = true)
)            line 442 cols 35-35 is ')' 
(            line 443 cols 9-9 is '(' 
conv1        line 443 cols 10-14 is T_Identifier 
)            line 443 cols 15-15 is ')' 
:            line 443 cols 16-16 is ':' 
Conv2d       line 443 cols 18-23 is T_Conv2d 
(            line 443 cols 24-24 is '(' 
800          line 443 cols 25-27 is T_IntConstant (value = 800)
,            line 443 cols 28-28 is ',' 
128          line 443 cols 30-32 is T_IntConstant (value = 128)
,            line 443 cols 33-33 is ',' 
kernel_size  line 443 cols 35-45 is T_kernel_size 
=            line 443 cols 46-46 is '=' 
(            line 443 cols 47-47 is '(' 
1            line 443 cols 48-48 is T_IntConstant (value = 1)
,            line 443 cols 49-49 is ',' 
1            line 443 cols 51-51 is T_IntConstant (value = 1)
)            line 443 cols 52-52 is ')' 
,            line 443 cols 53-53 is ',' 
stride       line 443 cols 55-60 is T_stride 
=            line 443 cols 61-61 is '=' 
(            line 443 cols 62-62 is '(' 
1            line 443 cols 63-63 is T_IntConstant (value = 1)
,            line 443 cols 64-64 is ',' 
1            line 443 cols 66-66 is T_IntConstant (value = 1)
)            line 443 cols 67-67 is ')' 
,            line 443 cols 68-68 is ',' 
bias         line 443 cols 70-73 is T_bias 
=            line 443 cols 74-74 is '=' 
False        line 443 cols 75-79 is T_BoolConstant (value = false)
)            line 443 cols 80-80 is ')' 
(            line 444 cols 9-9 is '(' 
norm2        line 444 cols 10-14 is T_Identifier 
)            line 444 cols 15-15 is ')' 
:            line 444 cols 16-16 is ':' 
BatchNorm2d  line 444 cols 18-28 is T_BatchNorm2d 
(            line 444 cols 29-29 is '(' 
128          line 444 cols 30-32 is T_IntConstant (value = 128)
,            line 444 cols 33-33 is ',' 
eps          line 444 cols 35-37 is T_eps 
=            line 444 cols 38-38 is '=' 
1e-05        line 444 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 444 cols 44-44 is ',' 
momentum     line 444 cols 46-53 is T_momentum 
=            line 444 cols 54-54 is '=' 
0.1          line 444 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 444 cols 58-58 is ',' 
affine       line 444 cols 60-65 is T_Identifier 
=            line 444 cols 66-66 is '=' 
True         line 444 cols 67-70 is T_BoolConstant (value = true)
,            line 444 cols 71-71 is ',' 
track_running_stats line 444 cols 73-91 is T_track_running_stats 
=            line 444 cols 92-92 is '=' 
True         line 444 cols 93-96 is T_BoolConstant (value = true)
)            line 444 cols 97-97 is ')' 
(            line 445 cols 9-9 is '(' 
relu2        line 445 cols 10-14 is T_Identifier 
)            line 445 cols 15-15 is ')' 
:            line 445 cols 16-16 is ':' 
ReLU         line 445 cols 18-21 is T_ReLU 
(            line 445 cols 22-22 is '(' 
inplace      line 445 cols 23-29 is T_inplace 
=            line 445 cols 30-30 is '=' 
True         line 445 cols 31-34 is T_BoolConstant (value = true)
)            line 445 cols 35-35 is ')' 
(            line 446 cols 9-9 is '(' 
conv2        line 446 cols 10-14 is T_Identifier 
)            line 446 cols 15-15 is ')' 
:            line 446 cols 16-16 is ':' 
Conv2d       line 446 cols 18-23 is T_Conv2d 
(            line 446 cols 24-24 is '(' 
128          line 446 cols 25-27 is T_IntConstant (value = 128)
,            line 446 cols 28-28 is ',' 
32           line 446 cols 30-31 is T_IntConstant (value = 32)
,            line 446 cols 32-32 is ',' 
kernel_size  line 446 cols 34-44 is T_kernel_size 
=            line 446 cols 45-45 is '=' 
(            line 446 cols 46-46 is '(' 
3            line 446 cols 47-47 is T_IntConstant (value = 3)
,            line 446 cols 48-48 is ',' 
3            line 446 cols 50-50 is T_IntConstant (value = 3)
)            line 446 cols 51-51 is ')' 
,            line 446 cols 52-52 is ',' 
stride       line 446 cols 54-59 is T_stride 
=            line 446 cols 60-60 is '=' 
(            line 446 cols 61-61 is '(' 
1            line 446 cols 62-62 is T_IntConstant (value = 1)
,            line 446 cols 63-63 is ',' 
1            line 446 cols 65-65 is T_IntConstant (value = 1)
)            line 446 cols 66-66 is ')' 
,            line 446 cols 67-67 is ',' 
padding      line 446 cols 69-75 is T_padding 
=            line 446 cols 76-76 is '=' 
(            line 446 cols 77-77 is '(' 
1            line 446 cols 78-78 is T_IntConstant (value = 1)
,            line 446 cols 79-79 is ',' 
1            line 446 cols 81-81 is T_IntConstant (value = 1)
)            line 446 cols 82-82 is ')' 
,            line 446 cols 83-83 is ',' 
bias         line 446 cols 85-88 is T_bias 
=            line 446 cols 89-89 is '=' 
False        line 446 cols 90-94 is T_BoolConstant (value = false)
)            line 446 cols 95-95 is ')' 
)            line 447 cols 7-7 is ')' 
(            line 448 cols 7-7 is '(' 
denselayer11 line 448 cols 8-19 is T_Identifier 
)            line 448 cols 20-20 is ')' 
:            line 448 cols 21-21 is ':' 
_DenseLayer  line 448 cols 23-33 is T_Identifier 
(            line 448 cols 34-34 is '(' 
(            line 449 cols 9-9 is '(' 
norm1        line 449 cols 10-14 is T_Identifier 
)            line 449 cols 15-15 is ')' 
:            line 449 cols 16-16 is ':' 
BatchNorm2d  line 449 cols 18-28 is T_BatchNorm2d 
(            line 449 cols 29-29 is '(' 
832          line 449 cols 30-32 is T_IntConstant (value = 832)
,            line 449 cols 33-33 is ',' 
eps          line 449 cols 35-37 is T_eps 
=            line 449 cols 38-38 is '=' 
1e-05        line 449 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 449 cols 44-44 is ',' 
momentum     line 449 cols 46-53 is T_momentum 
=            line 449 cols 54-54 is '=' 
0.1          line 449 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 449 cols 58-58 is ',' 
affine       line 449 cols 60-65 is T_Identifier 
=            line 449 cols 66-66 is '=' 
True         line 449 cols 67-70 is T_BoolConstant (value = true)
,            line 449 cols 71-71 is ',' 
track_running_stats line 449 cols 73-91 is T_track_running_stats 
=            line 449 cols 92-92 is '=' 
True         line 449 cols 93-96 is T_BoolConstant (value = true)
)            line 449 cols 97-97 is ')' 
(            line 450 cols 9-9 is '(' 
relu1        line 450 cols 10-14 is T_Identifier 
)            line 450 cols 15-15 is ')' 
:            line 450 cols 16-16 is ':' 
ReLU         line 450 cols 18-21 is T_ReLU 
(            line 450 cols 22-22 is '(' 
inplace      line 450 cols 23-29 is T_inplace 
=            line 450 cols 30-30 is '=' 
True         line 450 cols 31-34 is T_BoolConstant (value = true)
)            line 450 cols 35-35 is ')' 
(            line 451 cols 9-9 is '(' 
conv1        line 451 cols 10-14 is T_Identifier 
)            line 451 cols 15-15 is ')' 
:            line 451 cols 16-16 is ':' 
Conv2d       line 451 cols 18-23 is T_Conv2d 
(            line 451 cols 24-24 is '(' 
832          line 451 cols 25-27 is T_IntConstant (value = 832)
,            line 451 cols 28-28 is ',' 
128          line 451 cols 30-32 is T_IntConstant (value = 128)
,            line 451 cols 33-33 is ',' 
kernel_size  line 451 cols 35-45 is T_kernel_size 
=            line 451 cols 46-46 is '=' 
(            line 451 cols 47-47 is '(' 
1            line 451 cols 48-48 is T_IntConstant (value = 1)
,            line 451 cols 49-49 is ',' 
1            line 451 cols 51-51 is T_IntConstant (value = 1)
)            line 451 cols 52-52 is ')' 
,            line 451 cols 53-53 is ',' 
stride       line 451 cols 55-60 is T_stride 
=            line 451 cols 61-61 is '=' 
(            line 451 cols 62-62 is '(' 
1            line 451 cols 63-63 is T_IntConstant (value = 1)
,            line 451 cols 64-64 is ',' 
1            line 451 cols 66-66 is T_IntConstant (value = 1)
)            line 451 cols 67-67 is ')' 
,            line 451 cols 68-68 is ',' 
bias         line 451 cols 70-73 is T_bias 
=            line 451 cols 74-74 is '=' 
False        line 451 cols 75-79 is T_BoolConstant (value = false)
)            line 451 cols 80-80 is ')' 
(            line 452 cols 9-9 is '(' 
norm2        line 452 cols 10-14 is T_Identifier 
)            line 452 cols 15-15 is ')' 
:            line 452 cols 16-16 is ':' 
BatchNorm2d  line 452 cols 18-28 is T_BatchNorm2d 
(            line 452 cols 29-29 is '(' 
128          line 452 cols 30-32 is T_IntConstant (value = 128)
,            line 452 cols 33-33 is ',' 
eps          line 452 cols 35-37 is T_eps 
=            line 452 cols 38-38 is '=' 
1e-05        line 452 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 452 cols 44-44 is ',' 
momentum     line 452 cols 46-53 is T_momentum 
=            line 452 cols 54-54 is '=' 
0.1          line 452 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 452 cols 58-58 is ',' 
affine       line 452 cols 60-65 is T_Identifier 
=            line 452 cols 66-66 is '=' 
True         line 452 cols 67-70 is T_BoolConstant (value = true)
,            line 452 cols 71-71 is ',' 
track_running_stats line 452 cols 73-91 is T_track_running_stats 
=            line 452 cols 92-92 is '=' 
True         line 452 cols 93-96 is T_BoolConstant (value = true)
)            line 452 cols 97-97 is ')' 
(            line 453 cols 9-9 is '(' 
relu2        line 453 cols 10-14 is T_Identifier 
)            line 453 cols 15-15 is ')' 
:            line 453 cols 16-16 is ':' 
ReLU         line 453 cols 18-21 is T_ReLU 
(            line 453 cols 22-22 is '(' 
inplace      line 453 cols 23-29 is T_inplace 
=            line 453 cols 30-30 is '=' 
True         line 453 cols 31-34 is T_BoolConstant (value = true)
)            line 453 cols 35-35 is ')' 
(            line 454 cols 9-9 is '(' 
conv2        line 454 cols 10-14 is T_Identifier 
)            line 454 cols 15-15 is ')' 
:            line 454 cols 16-16 is ':' 
Conv2d       line 454 cols 18-23 is T_Conv2d 
(            line 454 cols 24-24 is '(' 
128          line 454 cols 25-27 is T_IntConstant (value = 128)
,            line 454 cols 28-28 is ',' 
32           line 454 cols 30-31 is T_IntConstant (value = 32)
,            line 454 cols 32-32 is ',' 
kernel_size  line 454 cols 34-44 is T_kernel_size 
=            line 454 cols 45-45 is '=' 
(            line 454 cols 46-46 is '(' 
3            line 454 cols 47-47 is T_IntConstant (value = 3)
,            line 454 cols 48-48 is ',' 
3            line 454 cols 50-50 is T_IntConstant (value = 3)
)            line 454 cols 51-51 is ')' 
,            line 454 cols 52-52 is ',' 
stride       line 454 cols 54-59 is T_stride 
=            line 454 cols 60-60 is '=' 
(            line 454 cols 61-61 is '(' 
1            line 454 cols 62-62 is T_IntConstant (value = 1)
,            line 454 cols 63-63 is ',' 
1            line 454 cols 65-65 is T_IntConstant (value = 1)
)            line 454 cols 66-66 is ')' 
,            line 454 cols 67-67 is ',' 
padding      line 454 cols 69-75 is T_padding 
=            line 454 cols 76-76 is '=' 
(            line 454 cols 77-77 is '(' 
1            line 454 cols 78-78 is T_IntConstant (value = 1)
,            line 454 cols 79-79 is ',' 
1            line 454 cols 81-81 is T_IntConstant (value = 1)
)            line 454 cols 82-82 is ')' 
,            line 454 cols 83-83 is ',' 
bias         line 454 cols 85-88 is T_bias 
=            line 454 cols 89-89 is '=' 
False        line 454 cols 90-94 is T_BoolConstant (value = false)
)            line 454 cols 95-95 is ')' 
)            line 455 cols 7-7 is ')' 
(            line 456 cols 7-7 is '(' 
denselayer12 line 456 cols 8-19 is T_Identifier 
)            line 456 cols 20-20 is ')' 
:            line 456 cols 21-21 is ':' 
_DenseLayer  line 456 cols 23-33 is T_Identifier 
(            line 456 cols 34-34 is '(' 
(            line 457 cols 9-9 is '(' 
norm1        line 457 cols 10-14 is T_Identifier 
)            line 457 cols 15-15 is ')' 
:            line 457 cols 16-16 is ':' 
BatchNorm2d  line 457 cols 18-28 is T_BatchNorm2d 
(            line 457 cols 29-29 is '(' 
864          line 457 cols 30-32 is T_IntConstant (value = 864)
,            line 457 cols 33-33 is ',' 
eps          line 457 cols 35-37 is T_eps 
=            line 457 cols 38-38 is '=' 
1e-05        line 457 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 457 cols 44-44 is ',' 
momentum     line 457 cols 46-53 is T_momentum 
=            line 457 cols 54-54 is '=' 
0.1          line 457 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 457 cols 58-58 is ',' 
affine       line 457 cols 60-65 is T_Identifier 
=            line 457 cols 66-66 is '=' 
True         line 457 cols 67-70 is T_BoolConstant (value = true)
,            line 457 cols 71-71 is ',' 
track_running_stats line 457 cols 73-91 is T_track_running_stats 
=            line 457 cols 92-92 is '=' 
True         line 457 cols 93-96 is T_BoolConstant (value = true)
)            line 457 cols 97-97 is ')' 
(            line 458 cols 9-9 is '(' 
relu1        line 458 cols 10-14 is T_Identifier 
)            line 458 cols 15-15 is ')' 
:            line 458 cols 16-16 is ':' 
ReLU         line 458 cols 18-21 is T_ReLU 
(            line 458 cols 22-22 is '(' 
inplace      line 458 cols 23-29 is T_inplace 
=            line 458 cols 30-30 is '=' 
True         line 458 cols 31-34 is T_BoolConstant (value = true)
)            line 458 cols 35-35 is ')' 
(            line 459 cols 9-9 is '(' 
conv1        line 459 cols 10-14 is T_Identifier 
)            line 459 cols 15-15 is ')' 
:            line 459 cols 16-16 is ':' 
Conv2d       line 459 cols 18-23 is T_Conv2d 
(            line 459 cols 24-24 is '(' 
864          line 459 cols 25-27 is T_IntConstant (value = 864)
,            line 459 cols 28-28 is ',' 
128          line 459 cols 30-32 is T_IntConstant (value = 128)
,            line 459 cols 33-33 is ',' 
kernel_size  line 459 cols 35-45 is T_kernel_size 
=            line 459 cols 46-46 is '=' 
(            line 459 cols 47-47 is '(' 
1            line 459 cols 48-48 is T_IntConstant (value = 1)
,            line 459 cols 49-49 is ',' 
1            line 459 cols 51-51 is T_IntConstant (value = 1)
)            line 459 cols 52-52 is ')' 
,            line 459 cols 53-53 is ',' 
stride       line 459 cols 55-60 is T_stride 
=            line 459 cols 61-61 is '=' 
(            line 459 cols 62-62 is '(' 
1            line 459 cols 63-63 is T_IntConstant (value = 1)
,            line 459 cols 64-64 is ',' 
1            line 459 cols 66-66 is T_IntConstant (value = 1)
)            line 459 cols 67-67 is ')' 
,            line 459 cols 68-68 is ',' 
bias         line 459 cols 70-73 is T_bias 
=            line 459 cols 74-74 is '=' 
False        line 459 cols 75-79 is T_BoolConstant (value = false)
)            line 459 cols 80-80 is ')' 
(            line 460 cols 9-9 is '(' 
norm2        line 460 cols 10-14 is T_Identifier 
)            line 460 cols 15-15 is ')' 
:            line 460 cols 16-16 is ':' 
BatchNorm2d  line 460 cols 18-28 is T_BatchNorm2d 
(            line 460 cols 29-29 is '(' 
128          line 460 cols 30-32 is T_IntConstant (value = 128)
,            line 460 cols 33-33 is ',' 
eps          line 460 cols 35-37 is T_eps 
=            line 460 cols 38-38 is '=' 
1e-05        line 460 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 460 cols 44-44 is ',' 
momentum     line 460 cols 46-53 is T_momentum 
=            line 460 cols 54-54 is '=' 
0.1          line 460 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 460 cols 58-58 is ',' 
affine       line 460 cols 60-65 is T_Identifier 
=            line 460 cols 66-66 is '=' 
True         line 460 cols 67-70 is T_BoolConstant (value = true)
,            line 460 cols 71-71 is ',' 
track_running_stats line 460 cols 73-91 is T_track_running_stats 
=            line 460 cols 92-92 is '=' 
True         line 460 cols 93-96 is T_BoolConstant (value = true)
)            line 460 cols 97-97 is ')' 
(            line 461 cols 9-9 is '(' 
relu2        line 461 cols 10-14 is T_Identifier 
)            line 461 cols 15-15 is ')' 
:            line 461 cols 16-16 is ':' 
ReLU         line 461 cols 18-21 is T_ReLU 
(            line 461 cols 22-22 is '(' 
inplace      line 461 cols 23-29 is T_inplace 
=            line 461 cols 30-30 is '=' 
True         line 461 cols 31-34 is T_BoolConstant (value = true)
)            line 461 cols 35-35 is ')' 
(            line 462 cols 9-9 is '(' 
conv2        line 462 cols 10-14 is T_Identifier 
)            line 462 cols 15-15 is ')' 
